,evttime,car_m,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_edate_m,car_edate_m,pat_car_edate_m,car_edate_t,scar_edate_t,bhar_edate_m,pat_scale_m,pat_car_edate_mean,sar_m,scar_edate_m,scar_m,car_v,abret_v,sar_v,pat_scale_v,car_edate_v,scar_edate_v,scar_v,scar_n,scar_edate_n,sar_n,car_n,n,pat_scale_edate_s,pat_scale_s,pat_car
140,[140],-0.0027396943041982343,-0.00047358073948973223,-0.0004998174886063361,-0.6233938597091581,-1.6858204366533227,-2.5620819626127203,0.0023441589514806363,-0.05046523742438801,-26.65438707536687,-6.448958387169897,-7.992838635379847,-0.01656372860846554,1.0102049758254665,0,-0.054120220752955986,-0.5630348027908285,-0.024989169476160013,0.06946291459987998,0.03814934967488032,1.5275184210487345,2.7130618063531215e-05,0.3723410828876125,3.3517560864185145,0.5462095317401957,2264,2264,2264,2264,2264,2287.104065268856,2287.104065268856,-1.1830014638668116
142,[142],-0.0017103283460411314,0.001377249094926399,0.0008528498016401817,0.8771427992785445,0.1479434365473628,0.2484771923948073,0.0023441589514806363,-0.05046523742438801,-26.65438707536687,-6.448958387169897,-7.992838635379847,-0.01656372860846554,1.0102049758254665,0,0.005248715966435461,-0.5630348027908285,-0.02917612408510289,0.11145350870082103,0.04626371048963205,1.6880899341972453,2.7130618063531215e-05,0.3723410828876125,3.3517560864185145,0.9011530352082014,2264,2264,2264,2264,2264,2287.104065268856,2287.104065268856,-1.3812142710690962
144,[144],-0.0031074822358805477,-0.0007801449888260059,-0.0012157191937729967,-1.7417481710840657,-1.9750023445826483,-2.8627754634343434,0.0023441589514806363,-0.05046523742438801,-26.65438707536687,-6.448958387169897,-7.992838635379847,-0.01656372860846554,1.0102049758254665,0,-0.060471929590112064,-0.5630348027908285,-0.04839752756326188,0.14435586883260318,0.03321131879838219,1.4568821504171703,2.7130618063531215e-05,0.3723410828876125,3.3517560864185145,1.1663683818774562,2264,2264,2264,2264,2264,2287.104065268856,2287.104065268856,-2.2911664194960357
146,[146],-0.005617601566110937,-0.0011342685619230213,-0.0012681731555625995,-1.6568180299890218,-3.363751142548466,-5.076861601817157,0.0023441589514806363,-0.05046523742438801,-26.65438707536687,-6.448958387169897,-7.992838635379847,-0.01656372860846554,1.0102049758254665,0,-0.10724124935580082,-0.5630348027908285,-0.09009849478113058,0.17748475951624648,0.03642016886577257,1.5169672953196205,2.7130618063531215e-05,0.3723410828876125,3.3517560864185145,1.412132861657413,2264,2264,2264,2264,2264,2287.104065268856,2287.104065268856,-4.265313872074011
148,[148],-0.01064951124059724,-0.0020427389549293644,-0.002931882064470004,-3.3619126303083076,-3.577752467967691,-8.151287964767763,0.0023441589514806363,-0.05046523742438801,-26.65438707536687,-6.448958387169897,-7.992838635379847,-0.01656372860846554,1.0102049758254665,0,-0.17218399353011957,-0.5630348027908285,-0.1581599160723041,0.19800703838458475,0.04149524042338074,2.289922042813771,2.7130618063531215e-05,0.3723410828876125,3.3517560864185145,1.6895598707555772,2264,2264,2264,2264,2264,2287.104065268856,2287.104065268856,-7.487380179524847
150,[150],-0.01584167382949127,-0.0018800222627432573,-0.0024841477044393735,-2.408975535117439,-1.889273323617958,-4.021642821095268,0.0023441589514806363,-0.05046523742438801,-26.65438707536687,-6.448958387169897,-7.992838635379847,-0.01656372860846554,1.0102049758254665,0,-0.08495130149749877,-0.5630348027908285,-0.2047535706509573,0.21067524495633003,0.049066291735436224,2.139505738730043,2.7130618063531215e-05,0.3723410828876125,3.3517560864185145,1.8139353776309108,2264,2264,2264,2264,2264,2287.104065268856,2287.104065268856,-9.693150228266838
152,[152],-0.022722418432543873,-0.003748853771787678,-0.0037296672112218116,-3.3113347680549605,-3.569470386585319,-7.9739097909779115,0.0021988940104389946,-0.05053892238026499,-26.670440225307296,-6.452811030513614,-7.9942568569987165,-0.016597070235757842,1.0102049766160879,0,-0.16851158739452132,-0.5636229072922649,-0.2694603993242348,0.23032922899692398,0.05356896971502285,2.2452891966707624,2.714260175944862e-05,0.372497472813879,3.3531797747961734,1.9756021417913239,2262,2262,2262,2262,2262,2285.0836571055906,2285.0836571055906,-12.750772511696079
154,[154],-0.02705306130636006,-0.0009912640067309077,-0.0017848303784123206,-1.4982320437755943,-2.580423961351749,-6.194518495258885,0.002542152361768593,-0.050350452160800606,-26.65788553199872,-6.423991405898344,-7.986958957786766,-0.016187167068574582,1.0102049774081086,0,-0.1309658561652221,-0.56360680897552,-0.3304550118867586,0.24788268570926744,0.05663332853390667,2.4127995320356677,2.7154601349122907e-05,0.3726084017073634,3.354663767354808,2.242760119629082,2260,2260,2260,2260,2260,2283.063248942325,2283.063248942325,-15.630101943525512
156,[156],-0.032128734844408306,-0.0019718212001129986,-0.0027888388992280484,-3.089219600809763,-4.053968802078098,-7.01365553966731,0.002542152361768593,-0.050350452160800606,-26.65788553199872,-6.423991405898344,-7.986958957786766,-0.016187167068574582,1.0102049774081086,0,-0.14828422956578705,-0.56360680897552,-0.39328196589609565,0.2611819709134046,0.042916951491753924,1.7388766769744828,2.7154601349122907e-05,0.3726084017073634,3.354663767354808,2.441646693415179,2260,2260,2260,2260,2260,2283.063248942325,2283.063248942325,-18.601736994119445
158,[158],-0.039049511377085545,-0.005387793728079087,-0.005118494082689016,-4.512305876109247,-4.062183509354314,-9.186735070061973,0.0038047230228406273,-0.048228903754345916,-26.238428331250837,-6.21166791440088,-7.868540143071284,-0.014939253814394779,1.0102049789963625,0,-0.19440006102622528,-0.5552301258202053,-0.46444346738316217,0.2678575459497083,0.053878217813314935,2.273036480061299,2.7178648350506488e-05,0.3687811451312376,3.351570853622062,2.613951326450348,2256,2256,2256,2256,2256,2279.022432615794,2279.022432615794,-21.948136576430826
160,[160],-0.046553372800602975,-0.003612553205136548,-0.003296409588115272,-2.9822894223136447,-2.021947019574687,-4.212271857087283,0.0038047230228406273,-0.048228903754345916,-26.238428331250837,-6.21166791440088,-7.868540143071284,-0.014939253814394779,1.0102049789963625,0,-0.08913568311612313,-0.5552301258202053,-0.5148307540441228,0.287265267658133,0.052500196413406176,2.093877996279634,2.7178648350506488e-05,0.3687811451312376,3.351570853622062,2.8148496098555396,2256,2256,2256,2256,2256,2279.022432615794,2279.022432615794,-24.32928116563477
162,[162],-0.04982863442779703,-0.0005544829242185735,-0.001084704555424245,-1.0950591910255973,-1.0442473318266576,-2.005983982731592,0.0038047230228406273,-0.048228903754345916,-26.238428331250837,-6.21166791440088,-7.868540143071284,-0.014939253814394779,1.0102049789963625,0,-0.04244853102725007,-0.5552301258202053,-0.5384507977278699,0.2988874418550922,0.047048243821095105,1.930762428200223,2.7178648350506488e-05,0.3687811451312376,3.351570853622062,2.952003204518057,2256,2256,2256,2256,2256,2279.022432615794,2279.022432615794,-25.445490093350084
164,[164],-0.04989805247648658,0.0007359632448803514,0.0003152894860151035,0.3284944296270985,0.01196302516474003,0.02138349676717453,0.0038047230228406273,-0.048228903754345916,-26.238428331250837,-6.21166791440088,-7.868540143071284,-0.014939253814394779,1.0102049789963625,0,0.000452495151410171,-0.5552301258202053,-0.5429341983641381,0.30423755752458764,0.04558805112938639,1.796563042066342,2.7178648350506488e-05,0.3687811451312376,3.351570853622062,3.0017398025481437,2256,2256,2256,2256,2256,2279.022432615794,2279.022432615794,-25.657361497303953
166,[166],-0.05220502878988402,-0.0006991547748708631,-0.0016203260259800081,-2.655924929931613,-2.470450100957865,-3.4298428650759365,0.0038307310272909195,-0.04826169459699916,-26.24731227908175,-6.210407145696079,-7.867784273599307,-0.014887544301232675,1.0102041749749653,0,-0.07261090461144544,-0.5556642572781626,-0.5670755020472438,0.309422172850913,0.02896433541932894,1.3954128467520026,3.132880497798128e-06,0.368943148872218,3.3530264114311352,3.0568413526896885,2254,2254,2254,2254,2254,2277.0002103935717,2277.0002103935717,-26.78633292153631
168,[168],-0.0549249500719082,-0.0004078474038309082,-0.0010384868354472547,-1.6461075386940762,-0.3428969981770614,-0.45867044006537677,0.003552201257358856,-0.04860950103452683,-26.304584900549777,-6.2527426992125905,-7.882293001862775,-0.0152282276138526,1.0102041750578625,0,-0.009714515342316326,-0.5571239636747252,-0.579654699501744,0.31721058289300685,0.02993828957408521,1.3444406909979856,3.134270725523295e-06,0.3689222073420157,3.354157546971426,3.074285259729647,2252,2252,2252,2252,2252,2274.979802230306,2274.979802230306,-27.368372660682272
170,[170],-0.05239866052309229,0.0023938633039215606,0.002030355311026354,2.7498363274605335,0.868670539350512,1.281608276513225,0.003552201257358856,-0.04860950103452683,-26.304584900549777,-6.2527426992125905,-7.882293001862775,-0.0152282276138526,1.0102041750578625,0,0.027144115202306727,-0.5571239636747252,-0.5718296426954222,0.3238064131729318,0.03503881369678024,1.4828758423035338,3.134270725523295e-06,0.3689222073420157,3.354157546971426,3.105541485584362,2252,2252,2252,2252,2252,2274.979802230306,2274.979802230306,-26.99891292724009
172,[172],-0.05263974824022544,-0.0008342420423917636,-0.0008375102484308406,-1.413445035477148,-1.4994723532278946,-1.998686851066789,0.003552201257358856,-0.04860950103452683,-26.304584900549777,-6.2527426992125905,-7.882293001862775,-0.0152282276138526,1.0102041750578625,0,-0.04233164464753107,-0.5571239636747252,-0.5827242601973416,0.32882807098347566,0.02811871036970338,1.3397102251868933,3.134270725523295e-06,0.3689222073420157,3.354157546971426,3.1485598703071704,2252,2252,2252,2252,2252,2274.979802230306,2274.979802230306,-27.513301841958487
