keydevid,companyid,companyname,keydeveventtypeid,announcedate,gvkey
548230640,11355142,Konkola Copper Mines plc,25,20180102,
548231308,31249899,Shanghai San Teh Xing Real Estate Co. Ltd.,25,20180102,
548241780,823791,Williams Industrial Services Group Inc.,25,20180102,143710
548341006,5503834,Cable & Wireless Jamaica Limited,25,20180102,206130
548348157,423382335,"Corix Bioscience, Inc.",25,20180102,031529
548350630,53885704,Classictime Investments Limited,25,20180103,
548436861,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180104,222111
548454394,7617101,PHH Mortgage Corporation,25,20180104,
548477324,27297091,Caesarstone Ltd.,25,20180104,170758
548577153,31726,Southwest Airlines Co.,25,20180105,009882
548594540,254563208,"Zepp Labs, Inc.",25,20180105,
548594540,283632707,"Blast Motion, Inc.",25,20180105,
548607553,1413208,"Acuity Brands, Inc.",25,20180103,146017
548607928,206802444,"Ekso Bionics Holdings, Inc.",25,20180102,017727
548608844,10866549,"HCC Medical Insurance Services, LLC",25,20180103,
548608844,13717684,HCC Life Insurance Company,25,20180103,
548608844,225447775,"Benefytt Technologies, Inc.",25,20180103,016886
548610770,129695702,Assa Properties,25,20180104,
548611021,30518347,National Gypsum Company,25,20180103,294160
548635026,24937,Apple Inc.,25,20180106,001690
548635039,216818432,XBiotech Inc.,25,20180105,023297
548636305,280903012,TethysAralGas LLP,25,20180105,
548646810,84224932,Fairmont Resources Inc.,25,20180105,
548653800,704634,Bayerische Motoren Werke Aktiengesellschaft,25,20180103,100022
548653800,4224611,"BMW of North America, LLC",25,20180103,
548792689,26851117,"Act II Jewelry, LLC",25,20180108,
548797524,536042020,"RYB Education, Inc.",25,20180108,032371
548829202,141647006,"OvaScience, Inc.",25,20180108,015215
548831253,360498,Deltic Timber Corporation,25,20180108,064135
548930309,8058784,U.S. Department of Health & Human Services,25,20180109,
548930467,519869,Quantel,25,20180109,233067
548930467,25046511,"Quantel-USA, Inc.",25,20180109,
548932010,22247,Oracle Corporation,25,20180109,012142
548944013,40208403,"Spanx, Inc.",25,20180109,
548949049,103374,"Buffalo Wild Wings, Inc.",25,20180109,157218
548949067,36852,Repros Therapeutics Inc.,25,20180109,027988
548951553,24246,"Acorda Therapeutics, Inc.",25,20180109,156617
548966843,113665065,"GoPro, Inc.",25,20180109,020644
548981466,144524848,"Uber Technologies, Inc.",25,20180109,035077
548992951,144524848,"Uber Technologies, Inc.",25,20180104,035077
549070217,106335,Ford Motor Company,25,20180110,004839
549070217,9830297,Bosch Limited,25,20180110,205280
549111475,25935,Blue Coat Systems Inc.,25,20180110,126615
549193662,21127,Intel Corporation,25,20180111,006008
549203390,173341,Comcast Corporation,25,20180111,003226
549203676,9345682,"Cardiovascular Systems, Inc.",25,20180111,179413
549207690,61949565,Southgobi Sands LLC,25,20180111,
549210200,115542,"Medline Industries, Inc.",25,20180111,007224
549210200,7890586,Musculoskeletal Transplant Foundation,25,20180111,
549210200,116888783,"Liventa Bioscience, Inc.",25,20180111,
549210572,252588,AZZ Inc.,25,20180111,001926
549211801,30566402,"YuMe, Inc.",25,20180111,018271
549237783,41265073,"Dali Wireless, Inc.",25,20180111,
549239237,25414219,"Bazaarvoice, Inc.",25,20180111,188157
549300524,37462632,"Micron Semiconductor (Shanghai) Co., Ltd.",25,20180112,
549300524,52887183,"Micron Semiconductor (Xi’an) Co., Ltd.",25,20180112,
549300587,20935981,Telit Communications PLC,25,20180112,272738
