keydevid,companyid,keydeveventtypeid,announcedate,gvkey
45142,8160544,25,20030131,
45231,4226484,25,20030108,
45236,30771,25,20021001,013440
45282,8083042,25,20020930,
45295,31335,25,20031024,031549
45320,35443,25,20021002,062836
45342,36197,25,20021213,063385
45377,30746925,25,20031004,
45410,317112,25,20021003,005074
45422,190636,25,20031009,010793
45424,135827,25,20021003,006127
45432,6859896,25,20021023,
45458,406338,25,20021011,004503
45465,4876464,25,20021011,
45465,7647200,25,20021011,
45466,27749,25,20021011,066367
45467,31841,25,20021011,065937
45480,346812,25,20031001,031858
45486,36712,25,20021009,
45519,105612,25,20021008,008972
45519,210392,25,20021008,062599
45519,280322,25,20021008,005860
45519,1340740,25,20021008,001300
45584,21835,25,20030930,012141
45603,31380,25,20030923,007251
45607,7614297,25,20030923,
45670,95168,25,20030926,133044
45713,339972,25,20021017,061489
45772,658639,25,20021021,112300
45777,24603,25,20021021,028708
45783,112302,25,20021021,009063
45826,96079,25,20030911,029241
45852,37703,25,20021114,062225
45853,7962540,25,20030910,
45883,24572,25,20031029,024302
45890,24572,25,20031029,024302
45894,93578,25,20021021,012603
45939,267850,25,20021023,004093
45941,401506,25,20021023,122357
45946,189848,25,20021023,010507
45969,29374,25,20030909,012589
46017,367090,25,20031029,065291
46054,370309,25,20021025,065706
46098,103599,25,20030902,011636
46105,416514,25,20031028,137232
46111,24762,25,20031028,145512
46129,100918,25,20021001,011304
46134,8032169,25,20030902,006394
46162,291981,25,20021025,007906
46163,1081005,25,20021025,
46172,95055,25,20021025,009563
46214,258332,25,20031028,013839
46215,258332,25,20031028,013839
46218,258332,25,20031028,013839
46219,258332,25,20031028,013839
46230,34686,25,20031028,065841
46231,369135,25,20031028,065708
46235,383724,25,20031028,066731
46273,29708,25,20031029,065819
46283,7701795,25,20021023,
46283,7928335,25,20021023,
46284,383462,25,20030906,
46286,21803,25,20021023,007267
46333,291845,25,20030807,007892
46370,97518,25,20030813,
46378,2118260,25,20021025,030496
46379,259378,25,20030814,002817
46394,135827,25,20021025,006127
46397,2444555,25,20030817,242285
46418,24976,25,20021029,
46418,31380,25,20021029,007251
46438,21835,25,20021028,012141
46438,26831,25,20021028,003282
46438,266017,25,20021028,014489
46444,391687,25,20030919,003243
46531,7928053,25,20021029,
46695,35312,25,20021031,024216
46744,412344,25,20021031,
46896,135470,25,20021031,001440
46964,135470,25,20021031,001440
46974,190636,25,20021031,010793
47020,3479595,25,20021101,
47088,21835,25,20021104,012141
47092,21835,25,20021104,012141
47101,33127,25,20031027,062730
47138,383724,25,20031027,066731
47310,98446,25,20021106,
47410,112517,25,20021108,126599
47413,189848,25,20021108,010507
47418,8081926,25,20021107,
47434,327460,25,20021113,029001
47596,259018,25,20021115,016785
47603,3532341,25,20021115,003823
47609,317013,25,20021115,025081
47622,1574588,25,20021114,
47646,249126,25,20021114,001279
47712,25615,25,20030716,122315
47736,35252,25,20030918,010422
47740,2996039,25,20021119,
47762,306654,25,20021119,010238
47767,107911,25,20021118,007750
47846,285813,25,20030910,006936
47872,375414,25,20030724,006862
47872,1916455,25,20030724,
47882,598530,25,20031024,142753
47887,31097,25,20031024,027875
47921,36712,25,20021127,
47938,189848,25,20021127,010507
47948,172899,25,20021127,002547
47997,306654,25,20021122,010238
48096,287950,25,20031023,007139
48125,3275330,25,20031023,
48179,249126,25,20021202,001279
48181,249786,25,20030828,024010
48187,1038355,25,20030321,
48205,369135,25,20031023,065708
48208,369135,25,20031023,065708
48211,369135,25,20031023,065708
48274,374150,25,20031023,065850
48321,107911,25,20021205,007750
48373,289834,25,20021204,007691
48512,337790,25,20021211,031720
48639,29220,25,20021211,063754
48666,368559,25,20031022,065177
48692,297526,25,20030630,012428
48694,172899,25,20021213,002547
48713,4166350,25,20021212,
48729,26486,25,20021212,064356
48737,136333,25,20030818,066708
48739,3590951,25,20021205,
48740,339972,25,20030418,061489
48744,6185789,25,20030410,014672
48747,107231,25,20021212,015354
48757,294863,25,20021213,008299
48768,249248,25,20031022,014592
48768,324829,25,20031022,025573
48768,4161650,25,20031022,016051
48773,359136,25,20030508,064351
48816,161245,25,20021218,
48871,52007392,25,20030701,
48872,24689,25,20021213,025056
48935,24215,25,20030530,119753
49182,306654,25,20021220,010238
49589,384493,25,20030620,110679
49590,271199,25,20030617,015208
49592,271199,25,20030617,015208
49613,26642,25,20030617,003144
49648,472898,25,20030613,
49769,1619285,25,20021211,009654
49822,6513193,25,20030702,
49892,35854,25,20031020,128764
49918,27338,25,20030703,031467
50039,472898,25,20031020,
50061,3110634,25,20030707,139163
50095,24691,25,20031020,
50111,8159745,25,20021217,
50116,4278572,25,20030709,
50182,876231,25,20031020,017196
50182,8031709,25,20031020,
50184,331231,25,20030708,031255
50189,208478,25,20030714,030326
50192,386744,25,20030714,030964
50208,288502,25,20030922,007257
50208,1541811,25,20030922,007186
50210,27338,25,20030714,031467
50215,516026,25,20030714,
50243,106772,25,20031017,017828
50261,24333,25,20030919,145977
50277,378115,25,20030717,023790
50333,95884,25,20020527,110160
50333,261564,25,20020527,014459
50360,238570,25,20030721,010920
50619,873813,25,20031015,007919
50685,275789,25,20031017,005234
50702,19049,25,20031017,007647
50872,100918,25,20030710,011304
50911,29389,25,20030923,062705
50912,3176563,25,20030919,107935
50912,7702220,25,20030919,
50936,248823,25,20030919,001243
50952,368559,25,20030919,065177
51073,34343,25,20030929,012679
51109,61036,25,20030923,006104
51156,4261328,25,20030923,
51165,8147811,25,20030721,
51205,98506,25,20031016,002991
51232,27058,25,20031016,065578
51232,27115,25,20031016,064299
51232,8159937,25,20031016,
51250,267468,25,20030922,004062
51259,121853,25,20030919,
51309,29919,25,20030923,065560
51309,715608,25,20030923,160175
51315,3588958,25,20030923,
51322,7659220,25,20030923,138181
51331,107534,25,20030923,010787
51331,7659220,25,20030923,138181
51340,210392,25,20030923,062599
51352,4270091,25,20030925,
51358,1032379,25,20030925,
51362,1541811,25,20030922,007186
51365,7702648,25,20030925,
51378,678733,25,20030924,
51378,734078,25,20030924,163118
51409,1900683,25,20030924,
51413,296308,25,20030923,008543
51470,362768,25,20030926,063898
51471,365247,25,20030926,064614
51473,362768,25,20030926,063898
51487,8160601,25,20030925,
51487,28117915,25,20030925,
51525,33328,25,20030926,008762
51530,33121,25,20030926,008657
51551,2567328,25,20030926,
51562,33121,25,20030926,008657
51565,290505,25,20031015,017073
51587,31335,25,20031016,031549
51640,36216,25,20031007,066368
51649,6536435,25,20031003,
51650,416514,25,20031003,137232
51659,30555,25,20031003,
51661,2567328,25,20031003,
51666,25798,25,20020524,002403
51675,383350,25,20020524,106881
51692,890180,25,20020524,
51696,410996,25,20020524,103830
51712,27899,25,20020525,126295
51712,30423465,25,20020525,
51721,403347,25,20031016,123097
51733,26642,25,20031007,003144
51773,365013,25,20031015,065350
51935,983017,25,20020611,
51935,1592587,25,20020611,009691
52012,312949,25,20020522,011554
52019,325757,25,20020522,028488
52020,93614,25,20031014,009155
52041,1632145,25,20031014,
52042,679391,25,20031014,
52042,694250,25,20031014,002333
52244,253965,25,20020521,002008
52244,1873662,25,20020521,
52269,247611,25,20020518,012484
52269,383350,25,20020518,106881
52277,267968,25,20020520,004140
52286,275167,25,20020520,005142
52355,7659222,25,20020517,111932
52393,21835,25,20020517,012141
52415,32867,25,20020520,064597
52509,28606,25,20031014,004510
52698,2004577,25,20031014,149070
52698,10037819,25,20031014,163993
52728,7943331,25,20031014,
52752,4341381,25,20020314,
52794,106335,25,20020314,004839
52819,25798,25,20020405,002403
52855,1792003,25,20031014,
52859,135827,25,20020410,006127
